date,value
25-07-16,661.83
26-07-16,656.23
27-07-16,657.46
28-07-16,657.6
29-07-16,657.8
30-07-16,658.22
31-07-16,655.28
01-08-16,626.12
02-08-16,612.85
03-08-16,573.36
04-08-16,579.5
05-08-16,578.28
06-08-16,588.4
07-08-16,597.51
08-08-16,592.99
09-08-16,591.09
10-08-16,599.98
11-08-16,597.54
12-08-16,589.91
13-08-16,589.77
14-08-16,585.67
15-08-16,573.58
16-08-16,581.74
17-08-16,580.89
18-08-16,577.79
19-08-16,578.24
20-08-16,582.82
21-08-16,584.16
22-08-16,588.45
23-08-16,589.47
24-08-16,583.59
25-08-16,580.45
26-08-16,580.62
27-08-16,579.85
28-08-16,574.04
29-08-16,576.28
30-08-16,578.36
31-08-16,577.86
01-09-16,576.31
02-09-16,575.64
03-09-16,599.5
04-09-16,611.84
05-09-16,609.05
06-09-16,610.83
07-09-16,614.54
08-09-16,628.77
09-09-16,626.83
10-09-16,625.1
11-09-16,628.82
12-09-16,608.46
13-09-16,611.19
14-09-16,611.95
15-09-16,611.09
16-09-16,609.26
17-09-16,607.86
18-09-16,610.16
19-09-16,610.93
20-09-16,609.52
21-09-16,603.59
22-09-16,598.49
23-09-16,603.21
24-09-16,604.58
25-09-16,603.38
26-09-16,608.14
27-09-16,608.25
28-09-16,606.59
29-09-16,606.82
30-09-16,609.74
01-10-16,615.24
02-10-16,614
03-10-16,612.57
04-10-16,612.05
05-10-16,613.81
06-10-16,613.82
07-10-16,617.91
08-10-16,619.85
09-10-16,619.2
10-10-16,621.32
11-10-16,642.08
12-10-16,641.34
13-10-16,638.83
14-10-16,641.28
15-10-16,642.1
16-10-16,642.9
17-10-16,642.33
18-10-16,640.74
19-10-16,638.87
20-10-16,631.92
21-10-16,634.09
22-10-16,658.2
23-10-16,661.13
24-10-16,657.25
25-10-16,664.42
26-10-16,679.73
27-10-16,688.59
28-10-16,690.44
29-10-16,720.4
30-10-16,714.12
31-10-16,709.29
01-11-16,736.45
02-11-16,740.83
03-11-16,745.77
04-11-16,706.93
05-11-16,707.51
06-11-16,714.26
07-11-16,710.74
08-11-16,712.99
09-11-16,740.05
10-11-16,723.02
11-11-16,718.32
12-11-16,717.15
13-11-16,705.26
14-11-16,706.28
15-11-16,715.72
16-11-16,747.62
20-05-17,2084.73
21-05-17,2119.08
22-05-17,2303.9
23-05-17,2320.82
24-05-17,2523.72
25-05-17,2763.71
26-05-17,2573.79
27-05-17,2260.2
28-05-17,2267.34
29-05-17,2307.05
30-05-17,2301.96
31-05-17,2311.08
01-06-17,2448.39
02-06-17,2488.55
03-06-17,2581.91
04-06-17,2585.89
05-06-17,2686.81
06-06-17,2999.91
07-06-17,2869.38
08-06-17,2815.3
09-06-17,2901.71
10-06-17,2950.99
11-06-17,2996.6
12-06-17,2997.26
13-06-17,2789.04
14-06-17,2786.83
15-06-17,2534.71
16-06-17,2539.92
17-06-17,2685.19
18-06-17,2662.1
19-06-17,2662.85
20-06-17,2763.45
21-06-17,2772.01
22-06-17,2723.74
23-06-17,2765.17
24-06-17,2757.94
25-06-17,2682.26
26-06-17,2615.25
27-06-17,2552.45
28-06-17,2603.98
29-06-17,2588.83
30-06-17,2559.25
01-07-17,2515.27
02-07-17,2514.28
03-07-17,2595
04-07-17,2631.59
05-07-17,2622.65
06-07-17,2616.72
07-07-17,2916.14
08-07-17,2571.34
09-07-17,2635.49
10-07-17,2537.16
11-07-17,2413.47
12-07-17,2423.71
13-07-17,2425.22
14-07-17,2363.25
15-07-17,2231.14
16-07-17,2058.77
17-07-17,2230.49
18-07-17,2387.61
19-07-17,2397.17
20-07-17,2900.7
21-07-17,2838.41
22-07-17,2862.42
23-07-17,2832.18
24-07-17,2777.26
25-07-17,2768.08
26-07-17,2610.76
27-07-17,2693.32
28-07-17,2897.45
29-07-17,2808.76
30-07-17,2758.53
31-07-17,2889.62
01-08-17,2921.35
02-08-17,2762.53
03-08-17,2813.31
04-08-17,2899.33
05-08-17,3290.01
06-08-17,3293.29
07-08-17,3397.68
08-08-17,3484.85
09-08-17,3422.76
10-08-17,3453.45
11-08-17,3679.72
12-08-17,3949.92
13-08-17,4208.39
14-08-17,4325.13
15-08-17,4455.97
16-08-17,4381.23
17-08-17,4484.7
18-08-17,4370.13
19-08-17,4243.26
20-08-17,4196.29
21-08-17,4109.14
22-08-17,4128.76
23-08-17,4255.78
24-08-17,4376.39
25-08-17,4455.7
26-08-17,4379.28
27-08-17,4416.59
28-08-17,4403.93
29-08-17,4625.68
30-08-17,4626.52
31-08-17,4736.05
01-09-17,4892.01
02-09-17,4975.04
03-09-17,4714.08
04-09-17,4591.63
05-09-17,4427.84
06-09-17,4617.25
07-09-17,4655.04
08-09-17,4661
09-09-17,4308.82
10-09-17,4245.44
11-09-17,4261.67
12-09-17,4344.65
13-09-17,4131.98
14-09-17,3920.6
15-09-17,3733.45
16-09-17,3808.84
17-09-17,3664.81
18-09-17,4079.23
19-09-17,4094.07
20-09-17,4031.39
21-09-17,3916.42
22-09-17,3758.27
23-09-17,3819.21
24-09-17,3796.15
25-09-17,3950.25
26-09-17,3969.89
27-09-17,4210.05
28-09-17,4279.31
29-09-17,4214.63
30-09-17,4358.43
01-10-17,4403.74
02-10-17,4470.23
03-10-17,4432.47
04-10-17,4352.31
05-10-17,4362.64
06-10-17,4413.27
07-10-17,4443.88
08-10-17,4624.14
09-10-17,4878.71
10-10-17,4922.17
11-10-17,4873.73
12-10-17,5446.91
13-10-17,5840.3
14-10-17,5837.7
15-10-17,5852.48
16-10-17,5776.23
17-10-17,5800.35
18-10-17,5603.82
19-10-17,5744.35
20-10-17,6060.11
21-10-17,6194.88
22-10-17,6076.26
23-10-17,6075.59
24-10-17,5935.52
25-10-17,5754.33
26-10-17,5976.8
27-10-17,5988.39
28-10-17,5876.72
29-10-17,6255.71
30-10-17,6214.99
31-10-17,6470.43
01-11-17,6767.31
02-11-17,7367.33
03-11-17,7461.29
04-11-17,7492.86
05-11-17,7617.48
06-11-17,7445.77
07-11-17,7253.32
08-11-17,7776.42
09-11-17,7446.83
10-11-17,7312
11-11-17,6873.15
12-11-17,6625.05
13-11-17,6811.19
14-11-17,6764.98
15-11-17,7342.25
16-11-17,7967.38
17-11-17,8004.59
18-11-17,7884.99
19-11-17,8101.91
20-11-17,8336.86
21-11-17,8348.66
22-11-17,8302.26
23-11-17,8267.4
24-11-17,8374.16
25-11-17,8790.92
26-11-17,9522.93
27-11-17,9818.35
28-11-17,10125.7
29-11-17,11517.4
30-11-17,10801
01-12-17,11046.7
02-12-17,11320.2
03-12-17,11858.7
04-12-17,11657.2
05-12-17,12032
06-12-17,14369.1
07-12-17,17899.7
08-12-17,18353.4
09-12-17,16783
10-12-17,15850.6
11-12-17,17513.9
12-12-17,17781.8
13-12-17,17653.1
14-12-17,17085.8
15-12-17,18154.1
16-12-17,19716.7
17-12-17,20089
18-12-17,19371
19-12-17,19177.8
20-12-17,17934.7
21-12-17,17567.7
22-12-17,15943.4
23-12-17,15603.2
24-12-17,14626
25-12-17,14593
26-12-17,16461.2
27-12-17,16930.9
28-12-17,15888.4
29-12-17,15279
30-12-17,14681.9
31-12-17,14377.4
01-01-18,14112.2
02-01-18,15444.6
03-01-18,15572.8
04-01-18,15739.7
05-01-18,17705.2
06-01-18,17712.4
07-01-18,17579.6
08-01-18,16537.9
09-01-18,15497.5
10-01-18,14973.3
11-01-18,15018.8
12-01-18,14229.9
13-01-18,14659.5
14-01-18,14511.8
15-01-18,14445.5
16-01-18,13843.1
17-01-18,11678
18-01-18,12107.3
19-01-18,11992.8
20-01-18,13103
21-01-18,12895.9
22-01-18,11966.4
23-01-18,11377.6
24-01-18,11501.4
25-01-18,11785.7
26-01-18,11656.7
27-01-18,11614.9
28-01-18,12040.3
29-01-18,11875.6
30-01-18,11307.2
31-01-18,10381.6
01-02-18,10288.8
02-02-18,9142.28
03-02-18,9430.75
04-02-18,9334.87
05-02-18,8364.84
06-02-18,7850.7
07-02-18,8509.11
08-02-18,8558.77
09-02-18,8736.98
10-02-18,9122.55
11-02-18,8616.13
12-02-18,8985.92
13-02-18,8958.47
14-02-18,9518.54
15-02-18,10234.8
16-02-18,10324.1
17-02-18,11139.5
18-02-18,11349.8
19-02-18,11273.8
20-02-18,11958.5
21-02-18,11418.5
22-02-18,11039.1
23-02-18,10487.3
24-02-18,10597.2
25-02-18,9923.22
26-02-18,10475
27-02-18,10878.5
28-02-18,11089.8
01-03-18,11052.3
02-03-18,11189
03-03-18,11528.2
04-03-18,11512.6
05-03-18,11704.1
06-03-18,11500.1
07-03-18,10929.5
08-03-18,10147.4
09-03-18,9466.35
10-03-18,9531.32
11-03-18,9711.89
12-03-18,9937.5
13-03-18,9470.38
14-03-18,9355.85
15-03-18,8428.35
16-03-18,8585.15
17-03-18,8346.53
18-03-18,8245.51
19-03-18,8675.87
20-03-18,9051.02
21-03-18,9177.37
22-03-18,9100.71
23-03-18,8879.62
24-03-18,8996.18
25-03-18,8682.01
26-03-18,8530.08
27-03-18,8232.78
28-03-18,8122.89
29-03-18,7994.33
30-03-18,7276.66
31-03-18,7207.85
01-04-18,7060.95
02-04-18,7135.47
03-04-18,7530.94
04-04-18,7469.88
05-04-18,6933.82
06-04-18,6857.49
07-04-18,7050.54
08-04-18,7111.56
09-04-18,7178.11
10-04-18,6872.41
11-04-18,6968.32
12-04-18,7899.23
13-04-18,8183.96
14-04-18,8140.71
15-04-18,8338.42
16-04-18,8371.15
17-04-18,8285.96
18-04-18,8197.8
19-04-18,8298.69
20-04-18,8880.23
21-04-18,8997.57
22-04-18,9001.64
23-04-18,8958.55
